Date,Open,High,Low,Close,Adj Close,Volume
2019-07-30,22.860001,23.285000,22.830000,23.170000,23.170000,364900
2019-07-31,23.200001,23.260000,22.000000,22.620001,22.620001,587900
2019-08-01,22.650000,23.170000,22.350000,22.490000,22.490000,477000
2019-08-02,22.440001,22.629999,22.010000,22.490000,22.490000,428300
2019-08-05,21.959999,22.500000,21.930000,22.299999,22.299999,394000
2019-08-06,22.440001,23.500000,22.280001,23.480000,23.480000,536000
2019-08-07,23.190001,23.600000,22.820000,23.370001,23.370001,532700
2019-08-08,23.450001,23.840000,22.584999,23.500000,23.500000,345900
2019-08-09,23.440001,23.719999,22.379999,22.719999,22.719999,380500
2019-08-12,22.530001,22.540001,21.959999,22.250000,22.250000,230600
2019-08-13,22.200001,22.900000,21.879999,22.459999,22.459999,296400
2019-08-14,22.049999,22.280001,21.200001,21.299999,21.299999,219300
2019-08-15,21.360001,21.959999,20.700001,21.889999,21.889999,414200
2019-08-16,22.549999,23.320000,22.075001,23.100000,23.100000,384700
2019-08-19,23.510000,23.790001,22.980000,23.610001,23.610001,452300
2019-08-20,23.570000,23.690001,23.080000,23.170000,23.170000,546800
2019-08-21,23.459999,23.495001,22.980000,23.180000,23.180000,250300
2019-08-22,23.299999,23.299999,22.790001,22.790001,22.790001,201000
2019-08-23,22.790001,23.010000,21.799999,21.930000,21.930000,213000
2019-08-26,22.320000,22.799999,22.160000,22.350000,22.350000,240500
2019-08-27,22.450001,22.860001,21.870001,21.889999,21.889999,289900
2019-08-28,21.850000,22.059999,21.520000,21.840000,21.840000,223100
2019-08-29,22.129999,22.309999,21.719999,21.799999,21.799999,262300
2019-08-30,21.990000,21.990000,21.459999,21.760000,21.760000,184800
2019-09-03,21.410000,21.600000,20.820000,21.010000,21.010000,281600
2019-09-04,21.270000,21.410000,20.330000,21.360001,21.360001,318200
2019-09-05,21.740000,22.170000,21.480000,21.820000,21.820000,316300
2019-09-06,21.870001,22.760000,21.790001,22.510000,22.510000,245800
2019-09-09,22.660000,22.660000,22.155001,22.190001,22.190001,172300
2019-09-10,22.000000,22.900000,21.490000,22.410000,22.410000,288500
2019-09-11,22.459999,23.860001,22.459999,23.740000,23.740000,369600
2019-09-12,23.940001,24.110001,23.280001,24.030001,24.030001,294100
2019-09-13,24.200001,24.750000,24.110001,24.620001,24.620001,277900
2019-09-16,24.389999,25.285000,24.170000,25.180000,25.180000,233900
2019-09-17,25.100000,25.620001,24.639999,25.360001,25.360001,346600
2019-09-18,25.400000,25.850000,24.940001,25.730000,25.730000,339100
2019-09-19,25.750000,26.115000,25.400000,25.840000,25.840000,341000
2019-09-20,25.809999,26.549999,25.459999,26.379999,26.379999,483000
2019-09-23,26.270000,26.930000,26.190001,26.559999,26.559999,222100
2019-09-24,26.660000,27.120001,26.110001,26.309999,26.309999,358100
2019-09-25,26.290001,26.770000,25.969999,26.360001,26.360001,167900
2019-09-26,26.330000,26.570000,25.719999,26.090000,26.090000,237800
2019-09-27,26.200001,26.200001,24.910000,25.320000,25.320000,284700
2019-09-30,25.330000,25.490000,25.059999,25.065001,25.065001,315100
2019-10-01,25.020000,25.330000,24.020000,24.030001,24.030001,262800
2019-10-02,19.750000,20.370001,18.389999,19.040001,19.040001,2830000
2019-10-03,18.690001,19.709999,17.870001,19.430000,19.430000,1295200
2019-10-04,19.660000,19.930000,19.070000,19.740000,19.740000,630600
2019-10-07,19.459999,19.690001,18.540001,18.570000,18.570000,770600
2019-10-08,18.309999,18.764999,17.850000,18.549999,18.549999,773400
2019-10-09,18.790001,18.870001,18.430000,18.469999,18.469999,360800
2019-10-10,18.570000,18.719999,18.100000,18.580000,18.580000,752500
2019-10-11,18.930000,19.250000,18.549999,18.990000,18.990000,504300
2019-10-14,18.879999,19.080000,18.340000,18.830000,18.830000,292400
2019-10-15,18.889999,19.389999,18.785000,19.105000,19.105000,349100
2019-10-16,19.030001,19.240000,18.850000,19.010000,19.010000,244700
2019-10-17,19.080000,19.250000,18.730000,18.900000,18.900000,250100
2019-10-18,18.730000,19.065001,18.684999,18.860001,18.860001,199700
2019-10-21,18.959999,19.090000,18.540001,18.590000,18.590000,252300
2019-10-22,18.590000,18.850000,18.360001,18.469999,18.469999,222900
2019-10-23,18.480000,19.004999,18.389999,18.900000,18.900000,295200
2019-10-24,19.059999,19.389999,18.879999,19.240000,19.240000,396800
2019-10-25,19.240000,19.770000,19.230000,19.459999,19.459999,261600
